Institution Name,Mission statement (IC2020mission)
Abilene Christian University,In our vibrant Christ-centered community we aim to contribute to our students spiritual and intellectual growth in ways that encourage confidence and vocational formation.
Abraham Lincoln University,TOO MANY REQUEST
Academy College,Academy College’s mission is to provide our students with the highest quality of education through career programs designed to enable students to succeed in their career and personal development.
Academy of Art University,Our Vision: To be the first choice for students seeking a world-class education in the arts and the first choice for those seeking to employ artists globally. Our Mission: Academy of Art University prepares aspiring professionals in the fields of design communication and the arts by delivering excellent undergraduate and graduate degrees and certificate and portfolio programs.
Adams State University,TOO MANY REQUEST
Adelphi University,Our University transforms the lives of all students by creating a distinctive environment of intellectual rigor research creativity and deep community engagement across four core areas of focus: arts and humanities STEM and social sciences the professions and health and wellness.
Adrian College,Adrian College  a liberal arts college in the United Methodist tradition  is committed to the pursuit of truth and dignity of all people. Through active and creative learning in a supportive community  undergraduate and graduate students are challenged to achieve excellence in their academic  personal  and professional lives  and to contribute to a more socially just society.
AdventHealth University,Developing skilled professionals who live the healing values of Christ.
Agnes Scott College,Agnes Scott College educates women to think deeply live honorably and engage the intellectual and social challenges of their times.
AI Miami International University of Art and Design,Miami International University of Art & Design is a multi-campus  career-oriented institution that provides students with academic preparation and practical skills through programs in the applied arts and design industries. The institution prepares its undergraduate students for entry-level positions and its graduate students for advancement in their chosen fields. The University is dedicated to fostering a culture that encourages creativity  research  and learning-centered endeavors.
Alabama A & M University,Alabama Agricultural and Mechanical University is a public comprehensive 1890 land-grant institution committed to access and opportunity of education. We are dedicated to intellectual inquiry the application of knowledge and excellence in teaching research and service which is responsive to the needs of a diverse student population and the social and economic needs of the region.
Alabama State University,Alabama State University is a student-centered public HBCU committed to excellence in teaching research and service. ASU provides a nurturing holistic learning environment focused on developing students on campus and virtually to be global change agents. ASU embraces CommUniversity and philanthropy to create dynamic relationships for positive community impact.
Alaska Bible College,The purpose of Alaska Bible College is to exalt the Lord Jesus Christ and extend His Church by biblically training believers to be servant-leaders with Christ-like character.
Alaska Pacific University,TOO MANY REQUEST
Albany College of Pharmacy and Health Sciences,We educate the next generation of leaders to improve the health of our society.
Albany State University,Albany State University will be a world-class comprehensive university and a powerful catalyst for the economic growth and development of Southwest Georgia. ASU will be recognized for its innovative and creative delivery of excellent educational programs broad-based community engagement and public service and creative scholarship and applied research all of which enrich the lives of the diverse constituencies served by the University.
Albertus Magnus College,The mission of Albertus Magnus College is to provide men and women with an education that promotes the search for truth in all its dimensions and is practical in its application. Founded by the Dominican Sisters of Peace Albertus Magnus College faithful to its Catholic heritage and the Judeo-Christian tradition remains dedicated to providing an opportunity for learning which responds to the academic needs and ethical challenges of its students and society.
Albion College,Albion College is nationally recognized for its academic excellence in the liberal arts tradition a learning-centered commitment and a future-oriented perspective. The College is a leader in preparing students to anticipate solve and prevent problems in order to improve the human and global condition. The College immerses students in the creation and processing of knowledge and graduates skilled architects of societal change active citizens and future leaders.
Albizu University-Miami,TOO MANY REQUEST
Albright College,Albright College is deeply committed to our core values mission and vision inclusivity and equity and expression statements. These statements were developed by teams of community members who used an iterative engagement process to ensure all voices were heard in their development. Statements published here have been endorsed by the Albright Faculty and by the Albright College Board of Trustees.
Alcorn State University,Alcorn State University is a public historically Black comprehensive land-grant institution of higher education that provides access and opportunity for diverse students to excel intellectually build character and overcome barriers so they can become productive leaders who make meaningful contributions to society. Enhancing its historic strengths in agriculture education and nursing Alcorn State offers a range of undergraduate and graduate programs including fine arts business humanities social and behavioral sciences and STEM.
Alderson Broaddus University,Home » About AB » AB – Our Mission
Alfred University,Alfred University will be an innovative leader in the delivery of academic excellence and enduring educational value preparing all students for success in their studies and throughout life.
