Institution Name,Mission statement (IC2020mission)
East Central University,We educate and empower students to understand and transform our world.
East Stroudsburg University of Pennsylvania,East Stroudsburg University is one of fourteen State-owned institutions in the Pennsylvania State System of Higher Education whose mission is undertaken in behalf of those who support it the—citizenry—through their governor and legislature students and alumni and other friends who share its commitments.
East Tennessee State University,Developing a world-class environment to enhance student success
East Texas Baptist University,As a Christ-centered institution  East Texas Baptist University educates students by integrating biblical faith and learning to develop mind  body  and soul through community engagement to prepare graduates to be Christian servant leaders in their calling to God and humanity.
East-West University,Pursuit of excellence by all through relevant effective and convenient education. Equal educational opportunity for all racial ethnic and socio-economic groups.
Eastern Connecticut State University,TOO MANY REQUEST
Eastern Illinois University,Eastern Illinois University is a public comprehensive university that offers superior accessible undergraduate and graduate education. Students learn the methods and results of free and rigorous inquiry in the arts humanities sciences and professions guided by a faculty known for its excellence in teaching research creative activity and service. The University community is committed to diversity and inclusion and fosters opportunities for student-faculty scholarship and applied learning experiences within a student-centered campus culture. Throughout their education students refine their abilities to reason and to communicate clearly so as to become responsible citizens and leaders.
Eastern Kentucky University,Vision Eastern Kentucky University will be a premier university dedicated to innovative student engagement and success advancing Kentucky and impacting the world.
Eastern Mennonite University,What does the Lord require of you but to do justice love mercy and to walk humbly with your God? — Micah 6:8
Eastern Michigan University,TOO MANY REQUEST
Eastern Nazarene College,TOO MANY REQUEST
Eastern New Mexico University-Main Campus,TOO MANY REQUEST
Eastern Oregon University,EOU guides student inquiry through integrated high-quality liberal arts and professional programs that lead to responsible and reflective action in a diverse and interconnected world.
Eastern University,Eastern University is a diverse Christ-centered community preparing graduates to impact the world through faith reason and justice.
Eastern Washington University,Start your application and get all the information you need to make an informed decision about paying for college and making the best decision for you.
Ecclesia College,TOO MANY REQUEST
Eckerd College,The mission of Eckerd College is to provide excellent innovative undergraduate liberal arts education and lifelong learning programs in the unique Florida environment within the context of a covenant relationship with the Presbyterian Church (USA).
Edgewood College,The College is sponsored by the Dominican Sisters of Sinsinawa a community formed on August 4 1847 by Fr. Samuel Mazzuchelli O.P. in Sinsinawa Wisconsin.
Edinboro University of Pennsylvania,TOO MANY REQUEST
Edward Waters University,TOO MANY REQUEST
Elizabeth City State University,Elizabeth City State University  a constituent institution of the University of North Carolina  offers baccalaureate  graduate  and professional programs for a diverse student body.  The institution's rich heritage provides a firm foundation for its educational endeavors  as well as its role in serving the needs and aspirations of individuals and society.     Through teaching  research  and community engagement  Elizabeth City State University provides a student-centered environment  delivered in a manner that enhances student learning  while preparing its graduates for leadership roles and lifelong learning. The university is also a leader in facilitating sustainable economic growth  while safeguarding the unique culture and natural resources of the region.
Elizabethtown College,Elizabethtown College provides a transformative educational experience that cultivates personal strengths and develops a passion for lifelong learning and purposeful work.
Elmhurst University,Home » About Elmhurst University » Mission Vision and Values
Elmira College,Grounded in the liberal arts and sciences  Elmira College provides a collaborative and supportive environment that enables students to become active learners  effective leaders  responsible community members  and globally engaged citizens. Proud of its history and tradition  the College is committed to the ideals of community engagement and intellectual and personal growth.
Elon University,Elon University embraces its founders vision of an academic community that transforms mind body and spirit and encourages freedom of thought and liberty of conscience.
Embry-Riddle Aeronautical University-Daytona Beach,Embry-Riddle Aeronautical University is the world leader in aviation and aerospace higher education. Our mission is to teach the science practice and business necessary to prepare students for productive careers and leadership roles in business government agencies and the military. Embry-Riddles reputation as a leader in aviation and aerospace higher education is grounded in its aviation roots dating back to 1926.
Embry-Riddle Aeronautical University-Prescott,Embry-Riddle Aeronautical University is the world leader in aviation and aerospace higher education. Our mission is to teach the science practice and business necessary to prepare students for productive careers and leadership roles in business government agencies and the military. Embry-Riddles reputation as a leader in aviation and aerospace higher education is grounded in its aviation roots dating back to 1926.
Embry-Riddle Aeronautical University-Worldwide,Embry-Riddle Aeronautical University is the world leader in aviation and aerospace higher education. Our mission is to teach the science practice and business necessary to prepare students for productive careers and leadership roles in business government agencies and the military. Embry-Riddles reputation as a leader in aviation and aerospace higher education is grounded in its aviation roots dating back to 1926.
Emerson College,Emerson College educates students to assume positions of leadership in communication and the arts and to advance scholarship and creative work that brings innovation depth and diversity to these disciplines.
Emmanuel College,Emmanuel College is a Christ-centered  liberal arts institution which strives to prepare students to become Christ-like disciples who integrate faith  learning and living for effective careers  scholarship and service.
Emmanuel College,Mission StatementTo educate students in a dynamic learning community rooted in the liberal arts and sciences and shaped by strong ethical values a commitment to social justice and service the Catholic intellectual tradition and the global mission of the Sisters of Notre Dame de Namur.
Emmaus Bible College,Our mission as a biblical higher education community is to glorify God by educating and equipping learners to impact the world for Christ through faithful and effective service in their ministries  professions  and communities.
Emory & Henry College,“Increase in Excellence” the historic motto of Emory & Henry College expresses our intention to be a learning community that moves toward fulfilling every students potential.
Emory University,Pursue academic excellence through our diverse programs for undergraduate graduate professional and nondegree students.
Emporia State University,Preparing students for lifelong learning  rewarding careers  and adaptive leadership.  Formal education provides the basis for the continued pursuit of knowledge to enrich one’s personal and professional life  independent of time and place. Adaptive – collegial – leadership recognizes the many contributions of individuals toward society’s common interests and aspirations.
Endicott College,Shaped by a bold entrepreneurial spirit Endicott College offers students a vibrant academic environment that remains true to its founding principle of integrating professional and liberal arts with experiential learning including internship opportunities across disciplines. The College fosters a spirit of excellence by creating a challenging yet supportive and inclusive environment in which students are encouraged to take intellectual risks pursue scholarly and creative interests contribute to the community and explore diverse career paths. Endicott is committed to supporting the personal and professional development of its students preparing them to assume meaningful roles within the greater community both domestically and internationally.
Epic Bible College & Graduate School,TOO MANY REQUEST
Erskine College,TOO MANY REQUEST
Eureka College,One of the reasons Eureka College faculty students and alumni find success is because we are guided by a common purpose greater than our individual goals. All Eureka College members subscribe to and aim to learn lead and serve in accordance with our vision mission & values.
Evangel University,Evangel University is a comprehensive Christian university committed to excellence in educating and equipping students to become Spirit-empowered servants of God who impact the Church and society globally.
Everglades University,The mission of Everglades University is to provide quality education to adult learners of diverse backgrounds in a collaborative environment where each individual has the opportunity to achieve personal growth. The University seeks to accomplish its mission by combining small class sizes and innovative programs with traditional academic values. The University supports the academic endeavor and service  to deliver graduate and undergraduate programs both on campus and online.
Fairfax University of America,Fairfax University of Americas mission is to provoke principled and transformative leadership based on peace and security global communities character stewardship and development.
Fairfield University,Founded by the Society of Jesus in 1942 Fairfield University is a coeducational institution of higher learning whose primary objectives are to develop the creative intellectual potential of students and to foster in them ethical and religious values and a sense of social responsibility. Jesuit Education which began in 1547 is committed to the service of faith of which the promotion of justice is an absolute requirement.
Fairleigh Dickinson University-Florham Campus,The largest private university in New Jersey FDU is a not-for-profit nonsectarian multicampus institution. Founded in 1942 FDU achieved four-year status in 1948 and approval as a university in 1956.
Fairleigh Dickinson University-Metropolitan Campus,The largest private university in New Jersey FDU is a not-for-profit nonsectarian multicampus institution. Founded in 1942 FDU achieved four-year status in 1948 and approval as a university in 1956.
Fairmont State University,Fairmont State University is a comprehensive student-centered state-supported institution offering dozens of certificate and degree programs at the associate bachelor and master levels via 41-degree programs and over 90 fields of study.
Faith Baptist Bible College and Theological Seminary,TOO MANY REQUEST
Faith International University,Faith International University & Seminary exists to glorify God by equipping Christian leaders with a biblical  theological  and practical education empowering them to apply and proclaim the inerrant Word of God for worldwide Christian service.
Family of Faith Christian University,Educating discipling and training laborers for the Kingdom of God.
Farmingdale State College,Dedicated to student success Farmingdale State College delivers exceptional academic and applied learning outcomes through scholarship research and student engagement for Long Island and beyond. FSCs commitment to student-centered learning and inclusiveness prepares graduates to be exemplary citizens equipped to excel in a competitive diverse and technologically dynamic society.
Faulkner University,© 2023 Sucuri Inc. All rights reserved.
Fayetteville State University,Fayetteville State University (FSU) a public comprehensive Historically Black University offers robust and innovative degree programs rooted in the liberal arts tradition. The university advances knowledge through the integration of teaching learning research and public service. FSU strives to meet the educational career and personal aspirations of its students from rural military and other diverse backgrounds so that they are equipped with academic and practical knowledge to serve local state national and global communities as enlightened citizens globally astute leaders and engaged solution creators.
Felician University,Our goal is to provide our students with a quality out of class experience that supports and amplifies the teaching and learning process which is the heart of our University.
Ferris State University,TOO MANY REQUEST
Ferrum College,We are a dynamic learning community where students enter with promise and leave with purpose.
Finlandia University,Finlandia is a learning community dedicated to academic excellence spiritual growth and service.
Fisher College,Since 1903 Fisher College has empowered students through education one student at a time. What better place to be a student than Boston one of Americas most premier college towns? With Fishers central location youll have immediate access to all the city has to offer.
Fisk University,Fisk University produces graduates from diverse backgrounds with the integrity and intellect required for substantive contributions to society.  Our curriculum is grounded in the liberal arts  and our faculty and administrators emphasize the discovery and advancement of knowledge through research in the natural and social sciences  business and the humanities.  We are committed to the success of scholars and leaders with global perspective.
Fitchburg State University,Fitchburg State University is committed to excellence in teaching and learning and blends liberal arts and sciences and professional programs within a small college environment. Our comprehensive public university prepares students to lead serve and succeed by fostering lifelong learning and civic and global responsibility. A Fitchburg State education extends beyond our classrooms to include residential professional and co-curricular opportunities. As a community resource we provide leadership and support for the economic environmental social and cultural needs of North Central Massachusetts and the Commonwealth.
Five Towns College,TOO MANY REQUEST
Flagler College,Flagler College offers an exceptional education through a challenging inclusive and supportive academic community integrated with the thriving culture and history of this unique place St. Augustine. We foster intellectual social and personal transformation in our students. We prepare them for a diverse world that will always need discerning individuals responsible citizens and visionary leaders. The College is committed to the preservation of the former Hotel Ponce de Leon and other historic structures that grace its campus.
Florida Agricultural and Mechanical University,TOO MANY REQUEST
Florida Atlantic University,TOO MANY REQUEST
Florida Gulf Coast University,TOO MANY REQUEST
Florida Institute of Technology,Ready for the future? Whether you hope to join the Florida Tech family as a freshman transfer student or graduate student your journey to Panther-hood starts here. Apply Get Info Visit
Florida Institute of Technology-Online,Ready for the future? Whether you hope to join the Florida Tech family as a freshman transfer student or graduate student your journey to Panther-hood starts here. Apply Get Info Visit
Florida International University,Florida International University is an urban  multi-campus  public research university serving its students and the diverse population of South Florida. We are committed to high-quality teaching  state-of-the-art research and creative activity  and collaborative engagement with our local and global communities.
Florida Memorial University,TOO MANY REQUEST
Florida National University-Main Campus,The purpose of Florida National University is to contribute to the education of a population of diverse presently predominantly Hispanic cultures. The University realizes this mission through the employment and development of a faculty of scholars who are proficient in the art of teaching. The University strives to prepare the students for employment in their chosen career or advanced studies through the acquisition of the required skills and knowledge needed for the successful completion of the program of studies.
Florida Polytechnic University,TOO MANY REQUEST
Florida Southern College,The mission of Florida Southern College is to prepare students through dynamic engaged learning to make a positive and consequential impact on society. The mission also includes preserving the world-renowned Frank Lloyd Wright campus and visitor program.
Florida State University,Florida State University preserves expands and disseminates knowledge in the sciences technology arts humanities and professions while embracing a philosophy of learning strongly rooted in the traditions of the liberal arts. The university is dedicated to excellence in teaching research creative endeavors and service. The university strives to instill the strength skill and character essential for lifelong learning personal responsibility and sustained achievement within a community that fosters free inquiry and embraces diversity.
Fontbonne University,TOO MANY REQUEST
Fordham University,Fordham University the Jesuit University of New York is committed to the discovery of Wisdom and the transmission of Learning through research and through undergraduate graduate and professional education of the highest quality. Guided by its Catholic and Jesuit traditions Fordham fosters the intellectual moral and religious development of its students and prepares them for leadership in a global society.
Fort Hays State University,Fort Hays State University provides accessible quality education to Kansas the nation and the world through an innovative community of teacher-scholars and professionals to develop engaged global citizen-leaders.
Fort Lewis College,Students are at the center of Fort Lewis College where we create inclusive experiential learning environments that foster innovation growth and community engagement.
Fort Valley State University,The mission of Fort Valley State University is to advance the cause of education with emphasis upon fulfilling commitments that our community members have undertaken collectively. As an institution of the University System of Georgia  Fort Valley State University naturally embraces the principles articulated by the Core Mission Statement for State Universities as approved by the Board of Regents of the University System of Georgia. The university's primary commitments include  among others  enhancement of teacher training programs grounded upon a liberal arts foundation  as reflective of over 110 years of experience and tradition. Additionally  the university recognizes with great pride and desires to further its responsibilities as Georgia's only 1890 Land Grant institution by offering programming excellence in agriculture  agribusiness  family and consumer sciences  extension  technology and military science and leadership  as well as to further its traditions of excellence in programs in the liberal arts and humanities  social sciences  and natural and physical sciences.
Framingham State University,Framingham State University prepares students for a productive life enhanced by learning and leadership that contributes to the culturally diverse world of the twenty-first century. The University is an important educational and cultural center in the MetroWest Region of Massachusetts committed to excellence access and service. A Framingham State University education cultivates thoughtful responsible local and global citizens prepares students for careers and positions them for success.
Francis Marion University,TOO MANY REQUEST
Franciscan Missionaries of Our Lady University,The mission of Franciscan Missionaries of Our Lady University is to educate and form Franciscan servant leaders of all faiths. We honor and preserve the legacy of our founders by preparing highly skilled professionals integrated thinkers and faith-filled citizens. Inspired by the Franciscan Missionaries of Our Lady to be a living witness to Jesus Christ and the Gospel message the University is in communion with the teachings of the Catholic Church.
Franciscan University of Steubenville,© 2023 Sucuri Inc. All rights reserved.
Franklin and Marshall College,Franklin & Marshall is a residential college dedicated to excellence in undergraduate liberal education. Its aims are to inspire in young people of high promise and diverse backgrounds a genuine and enduring love for learning  to teach them to read  write  and think critically  to instill in them the capacity for both independent and collaborative action  and to educate them to explore and understand the natural  social and cultural worlds in which they live. In so doing  the College seeks to foster in its students qualities of intellect  creativity  and character  that they may live fulfilling lives and contribute meaningfully to their occupations  their communities  and their world.
Franklin College,Mission: A Franklin College education fosters independent thinking innovation leadership and action for ever-changing professions and a globally connected world.
Franklin Pierce University,Franklin Pierce University delivers programs and educational experiences that develop essential intellectual and professional skills; promotes close community connections; and empowers our students to realize their potential through the intersection of highly personalized liberal learning innovative engagement and professional programming.
Franklin University,Franklin University is a student-centered nonprofit independent institution.
Franklin W Olin College of Engineering,TOO MANY REQUEST
Freed-Hardeman University,Our Identity... Freed-Hardeman University is an academic community associated with churches of Christ which is dedicated to providing excellent undergraduate graduate and professional programs.
Fresno Pacific University,Fresno Pacific University develops students for leadership and service through excellence in Christian higher education.
Friends University,Friends University a Christian University of Quaker heritage equips students to honor God and serve others by integrating their intellectual spiritual and professional lives.
Frostburg State University,Frostburg State University is a student-centered teaching and learning institution featuring experiential opportunities. The University offers students a distinctive and distinguished baccalaureate education along with a select set of applied masters and doctoral programs. Frostburg serves regional and statewide economic and workforce development; promotes cultural enrichment civic responsibility and sustainability; and prepares future leaders to meet the challenges of a complex and changing global society.
Full Sail University,TOO MANY REQUEST
Furman University,TOO MANY REQUEST
Galen College of Nursing-Louisville,Galen College of Nursing  driven by a culture dedicated to expanding access to nursing education  prepares diverse learners to demonstrate excellence and compassion in nursing through an educational approach immersed in innovation  technology  and student support.
Gallaudet University,TOO MANY REQUEST
Gannon University,Gannon is a Catholic Diocesan university dedicated to excellence in teaching scholarship and service. Our faculty and staff prepare students to be global citizens through programs grounded in the liberal arts and sciences and professional specializations. Inspired by the Catholic Intellectual Tradition we offer a comprehensive values-centered learning experience that emphasizes faith leadership inclusiveness and social responsibility.
Gardner-Webb University,TOO MANY REQUEST
Gemini School of Visual Arts & Communication,"OUR MISSION  The school's mission  ""turning talent into profession"" is realized through a rigorous  integrated art and technology training program where students master traditional drawing and painting and then learn to apply those skills to cutting edge design software in our state of the art Digital Media Lab.  For a young artist in today's commercial market  the ability to combine strong traditional skills with strong design software knowledge is critical to obtaining employment with the top creative firms in the advertising  videogame  publishing  entertainment  technology and fine art industries.  Our graduates leave Gemini School as savvy professionals ready to succeed in any environment.     OUR PHILOSOPY  At Gemini School  we are dedicated to the education of professional artists.  From first year students to working concept artists  illustrators and designers  our programs are designed to provide professional-level instruction in art.  Our overall guiding philosophy is ""giving back.""  We believe that as professional artists  it is our responsibility to share our technical and artistic knowledge and experiences with future colleagues to ensure the advancement of our craft.  And  as working artists and educators  we believe in the tenants of artistic freedom  integrity and professional ethics- and expect the same from our students."
Geneva College,Geneva College′s mission is student-focused emphasizing Christ comprehensive education and service to God and neighbor. This is consistent with the college′s charter bylaws and Foundational Concepts of Christian Education as well as Geneva′s historic motto Pro Christo et Patria (For Christ and Country).
George Fox University,George Fox University  a Christ-centered community  prepares students spiritually  academically  and professionally to think with clarity  act with integrity  and serve with passion.
George Mason University,A public  comprehensive  research university established by the Commonwealth of Virginia in the National Capitol Region  we are an innovative and inclusive academic community committed to creating a more just  free  and prosperous world.
George Washington University,TOO MANY REQUEST
Georgetown College,About Admissions & Aid Academics Campus Life Spiritual Life Athletics Support Alumni Ensor LRC (Library)
Georgetown University,Founded in 1789 as the nations first Catholic institution of higher learning Georgetown University College of Arts & Sciences is committed to the Jesuit traditions of an integrated education and of productive research in the liberal arts including fine arts humanities languages sciences and social sciences. The College seeks to expand the imagination foster the life of the spirit cultivate lifelong learning encourage service to God and humanity and promote respect for diversity in an age of global community.
Georgia College & State University,From its founding as a womens educational center in 1889 our institution has consistently been a destination for students looking to make a difference in the world. We are Georgias designated public liberal arts university. More importantly we teach every student how to learn; and we strive to instill a lifelong passion for learning that serves our students well regardless of the career paths they choose. Georgia College & State University is located in Milledgeville a charming traditional southern town less than a two-hour drive from Atlanta.
Georgia Gwinnett College,Georgia Gwinnett College provides access to targeted baccalaureate and associate level degrees that meet the economic development needs of the growing and diverse population of the northeast Atlanta metropolitan region. It emphasizes the innovative use of technology and active-learning environments to provide students enhanced learning experiences  practical opportunities to apply knowledge  increased scheduling flexibility  and a variety of course delivery options. Georgia Gwinnett’s outstanding faculty and staff actively engage students in various learning environments  serve as mentors and advisors  and assist students through programs designed to enhance their academic  social  and personal development. GGC produces contributing citizens and future leaders for Georgia and the nation. Its graduates are inspired to contribute to the local  state  national  and international communities and are prepared to anticipate and respond effectively to an uncertain and changing world.
Georgia Institute of Technology-Main Campus,TOO MANY REQUEST
Georgia Southern University,At Georgia Southern University our learner-centered culture prepares us to think lead teach and serve. We value collaboration academic excellence discovery and innovation integrity openness and inclusion and sustainability. We promote talent and economic development to enhance quality of life through scholarly pursuits cultural enrichment student life and community engagement across distinctive campuses. Our success is measured by the global impact of our students faculty staff and alumni.
Georgia Southwestern State University,TOO MANY REQUEST
Georgia State University,Georgia State University an enterprising public research university transforms the lives of students advances the frontiers of knowledge and strengthens the workforce of the future. The university provides an outstanding education and exceptional support for students from all backgrounds. Georgia State readies students for professional pursuits educates future leaders and prepares citizens for lifelong learning. Enrolling one of the most diverse student bodies in the nation the university provides educational opportunities for tens of thousands of students at the graduate baccalaureate associate and certificate levels.
Georgian Court University,TOO MANY REQUEST
Gettysburg College,Gettysburg College is a residential undergraduate college of the liberal arts and sciences that prepares students from across the nation and around the globe to pursue lives of personal and professional fulfillment and to engage the complex questions of our time through effective leadership and socially responsible citizenship.
Glenville State University,Glenville State University prepares and inspires students to be thoughtful productive engaged and responsible citizens who contribute to the well-being of their community state nation and world.
Goddard College,To advance cultures of rigorous inquiry  collaboration  and lifelong learning  where individuals take imaginative and responsible action in the world.
Gods Bible School and College,We glorify God and serve His Church by providing higher education centered in Holy Scripture and shaped by Wesleyan conviction. This allows us to prepare faithful servants who proclaim Jesus Christ and spread scriptural holiness throughout the world.
Goldey-Beacom College,In its second century Goldey-Beacom College reaffirms its commitment to the proud tradition of providing accessible high-quality career-focused education.
Gonzaga University,All the how-tos and why-you-shoulds for becoming a Zag.
Gordon College,Gordon College strives to graduate men and women distinguished by intellectual maturity and Christian character committed to lives of service and prepared for leadership worldwide.
Goshen College,Goshen College transforms local and global communities through courageous creative and compassionate leaders. Shaped by Anabaptist-Mennonite tradition we integrate academic excellence and real-world experience with active love for God and neighbor.
Goucher College,Goucher College provides an innovative liberal arts education that prepares students with a broad humane perspective for a life of inquiry creativity and critical and analytical thinking.
Governors State University,MISSIONGovernors State University is committed to offering an exceptional and accessible education that prepares students with the knowledge skills and confidence to succeed in a global society.VISIONGSU will create an intellectually stimulating public square serve as an economic catalyst for the region and lead as a model of academic excellence innovation diversity and responsible citizenship.CORE VALUESInvest in Student Success through a commitment to mentoring and a deliberate university focus on student achievement of academic professional and personal goals. Provide Opportunity and Access to a first-class public education to residents of our surrounding communities and all those traditionally underserved by higher education.Serve as an Economic Catalyst for the citizens of the State of Illinois and our larger Midwest region so that our communities grow and flourish.Prepare Stewards of our Future to thrive in the global economy to contribute to ongoing innovative research and to serve as stewards of the environment.Demonstrate Inclusiveness and Diversity to encourage acceptance of wide-ranging perspectives among students staff faculty and members of the broader community.Promote Quality of Life which encompasses civic personal professional and cultural growthDownload Strategy 2025GOALSAcademic Excellence Provide quality current and relevant academic programs.Strategic ObjectivesEnsure that all academic programs are up to date relevant and in demand while aligned with professional or discipline standards.Utilize continuous improvement processes for increasing the quality of academic programs.Provide a campus environment and infrastructure that supports learning/teaching and scholarly/creative activities. Student Success Provide equitable pathways to graduation which lead to academic personal and career success.Strategic ObjectivesDeliver academic support services that advance timely degree completion goals.Provide a broad array of extra-academic support services for all GSU students.Provide meaningful opportunities for practical career application/experiential learning. High Quality Faculty and Staff Create a learning environment where highly qualified and diversified faculty and staff are hired and retained.Strategic ObjectivesHire develop and retain diverse and exceptional faculty.Hire develop and retain diverse and exceptional staff.Utilize contingent faculty in an effective and strategic manner to address program and student needs. Enrollment Optimization Implement a strategic enrollment plan consistent with university mission.Strategic ObjectivesOptimize enrollment within the framework of the Universitys Strategic Enrollment Management Plan.Increase enrollment of and support for our Hispanic student population.Determine and develop course/program delivery modes that support enrollment optimization. Invest in Excellence Enhance and diversify revenue streams serve as a destination for social cultural and continuing education and be an economic catalyst for the region.Strategic ObjectivesIncrease and diversify revenue streams and external stakeholder investments to grow resources reach and reputation.Provide opportunities to engage with GSU as a premier community resource/destination.Contribute to workforce development and regional economy. Social Ethical and Environmental Responsibility Institutional actions and decisions demonstrate a commitment to social ethical and environmental responsibility.Strategic ObjectivesDemonstrate a commitment to ethics equity inclusiveness diversity and accountability for all students faculty and staff.Integrate sustainability environmental health ecological stewardship and environmental justice into campus operations academic programs university development and student life.Realize the universitys public responsibility to stimulate educational cultural environmental and economic development in Chicagoland and beyond with particular emphasis on community members historically underserved by higher education. Strong Cyber Presence Support the people tools and environment that are needed to succeed in todays digital world.Strategic ObjectivesInfuse information technology excellence across the university by selecting and implementing information and communications platforms and training and support systems that are driven by university priorities and user needs.Invest in innovative instructional technologies to deliver and support excellent and accessible academic programs and student services and build institutional digital expertise through end-user training development and recognition.Increase GSUs Digital Visibility to promote GSU programs faculty and resources through our web presence social media news media and digital marketing. Continuous Improvement Institutional processes for continuous improvement are guided by evidence-based decision-making to achieve the mission of the university.Strategic ObjectivesEach unit will undergo a strategic planning process resulting in key performance indicators that provide qualitative and quantitative data which demonstrate the units contribution toward meeting the goals of the university strategic plan.Engage members of the campus community in an examination of campus/unit wide findings and data analysis.Inform the campus community about progress toward meeting Strategic Plan goals. GSU STRATEGIC PLANNING PROCESSThe development of Strategy 2025 was a campus wide endeavor. Details on participants and the process used are included in the Strategic Planning Process for Strategy 2025. Questions on the process and implementation steps can be directed to effectiveness@govst.edu.
Grace Christian University,Graduating Godly individuals prepared to serve Christ in church and society.
Grace College and Theological Seminary,TOO MANY REQUEST
Grace Mission University,TOO MANY REQUEST
Grace School of Theology,Grace School of Theology is an evangelical Christian institution of higher learning and has as its purpose the offering of programs of study in an environment where academic excellence is emphasized and a biblical based perspective is maintained. Grace is committed to enriching its students spiritually  intellectually  and professionally  and to preparing students to serve God in a global and culturally diverse society.
Graceland University-Lamoni,TOO MANY REQUEST
Grambling State University,Mission Statement: Grambling State University is a comprehensive  historically-black  public institution that offers a broad spectrum of undergraduate and graduate programs of study. Through its undergraduate major courses of study  which are under girded by a traditional liberal arts program  and through its graduate school  which has a decidedly professional focus  the University embraces its founding principle of educational opportunity. With a commitment to the education of minorities in American society  the University seeks to reflect in all of its programs the diversity present in the world. The university advances the study and preservation of African American history  art and culture. Grambling State University is a community of learners who strive for excellence in their pursuit of knowledge and who seek to contribute to their respective major academic disciplines. The University prepares its graduates to compete and succeed in careers related to its programs of study  to contribute to the advancement of knowledge  and to lead productive lives as informed citizens in a democratic society. The University provides its students a living and learning environment which nurtures their development for leadership in academics  athletics  campus governance  and in their future pursuits. The University affords each student the opportunity to pursue any program of study provided that the student makes reasonable progress and demonstrates that progress in standard ways. Grambling fosters  in its students  a commitment to service and to the improvement in the quality of life for all persons. The University expects that all persons who matriculate and who are employed at Grambling will reflect through their study and work that the University is indeed a place where all persons are valued  “where everybody is somebody.
Grand Canyon University,TOO MANY REQUEST
Grand Valley State University,Grand Valley State University educates students to shape their lives  their professions and their societies. The university contributes to the enrichment of society through excellent teaching  active scholarship and public service.
Grand View University,The core values at Grand View University provide a foundation for faculty staff and students to fulfill the mission and achieve the vision of the institution.
Granite State College,The mission of Granite State College is to expand access to public higher education to adults of all ages throughout the state of New Hampshire and beyond.
Grantham University,TOO MANY REQUEST
Great Lakes Christian College,Great Lakes Christian College  an institution of higher education affiliated with Christian Churches/Churches of Christ  seeks to glorify God by preparing students to be servant-leaders in the church and world.
Greensboro College,Greensboro College provides a liberal arts education grounded in the traditions of the United Methodist Church and fosters the intellectual  social  and spiritual development of all students while supporting their individual needs.
Greenville University,TOO MANY REQUEST
Grinnell College,"When Grinnell College framed its charter in the Iowa Territory of the United States in 1846 it set forth a mission to educate its students ""for the different professions and for the honorable discharge of the duties of life."" The College pursues that mission by providing an education in the liberal arts through free inquiry and the open exchange of ideas. As a teaching and learning community the College holds that knowledge is a good to be pursued both for its own sake and for the intellectual moral and physical well-being of individuals and of society at large. The College exists to provide a lively academic community of students and teachers of high scholarly qualifications from diverse social and cultural circumstances. The College aims to graduate individuals who can think clearly who can speak and write persuasively and even eloquently who can evaluate critically both their own and others ideas who can acquire new knowledge and who are prepared in life and work to use their knowledge and their abilities to serve the common good."
Guilford College,Guilford College is grounded in the relentless pursuit of its seven Core Values. These enduring values are the basis of the Colleges mission and are guided by the Quaker testimonies. The College was founded by the Society of Friends (Quakers) in 1837 and their principles are reflected in the campus culture.
Gustavus Adolphus College,Gustavus Adolphus College is a church-related residential liberal arts college firmly rooted in its Swedish and Lutheran heritage.
Gwynedd Mercy University,As a Mercy University committed to academic excellence we value:
Hallmark University,TOO MANY REQUEST
Hamilton College,The $400 million campaign to provide students with a life-altering education.
Hamline University,At Hamline University our mission is to create a diverse and collaborative community of learners dedicated to the development of students knowledge values and skills for successful lives of leadership scholarship and service.
Hampden-Sydney College,Hampden-Sydney College strives to instill in its students a commitment to sound scholarship through studies in the natural sciences the humanities and the social sciences; to cultivate qualities of character and moral discernment rooted in the Judeo-Christian tradition; to develop clear thinking and expression; to promote an understanding of the world and our place in it; to impart a comprehension of social institutions as a basis for intelligent citizenship and responsible leadership in a democracy; to prepare those with special interests and capacities for graduate and professional study; and to equip graduates for a rewarding and productive life.
Hampshire College,The mission of Hampshire College is to foster a lifelong passion for learning  inquiry  and ethical citizenship that inspires students to contribute to knowledge  justice  and positive change in the world and  by doing so  to transform higher education.
Hampton University,TOO MANY REQUEST
Hannibal-LaGrange University,The mission of Hannibal-LaGrange University is to provide an excellent education in both liberal arts and professional disciplines in a distinctively Christian environment that integrates Christian faith and learning in preparing graduates for both personal and career effectiveness.
