Institution Name,Mission statement (IC2020mission)
Abilene Christian University,The mission of Abilene Christian University is to educate students for Christian service and leadership throughout the world.
Abilene Christian University-Undergraduate Online,nan
Abraham Lincoln University,
Academy College,Academy College’s mission is to provide our students with the highest quality of education through career programs designed to enable students to succeed in their career and personal development.
Academy of Art University,Since 1929 artists and designers have called Academy of Art University their home. Founded in San Francisco and family owned it is one of the largest private accredited art and design schools in the nation.
Adams State University,Adams State University’s driving purpose is to provide equitable access to education for all. We promote successful and engaged lives by caring for connecting with and challenging our students campus and community. As Colorado’s premierHispanic Serving Institution Adams State University draws on its rural location in the San Luis Valley to serve and empower all students especially those from historically underserved populations.
Adelphi University,©Adelphi University2023
Adrian College,Adrian College  a liberal arts college in the United Methodist tradition  is committed to the pursuit of truth and dignity of all people. Through active and creative learning in a supportive community  undergraduate and graduate students are challenged to achieve excellence in their academic  personal  and professional lives  and to contribute to a more socially just society.
AdventHealth University,AdventHealth University
Agnes Scott College,Agnes Scott College educates women to think deeply live honorably and engage the intellectual and social challenges of their times.
AI Miami International University of Art and Design,Miami International University of Art & Design is a multi-campus  career-oriented institution that provides students with academic preparation and practical skills through programs in the applied arts and design industries. The institution prepares its undergraduate students for entry-level positions and its graduate students for advancement in their chosen fields. The University is dedicated to fostering a culture that encourages creativity  research  and learning-centered endeavors.
Alabama A & M University,The vision of Alabama A&M University is to be recognized as the premier land-grant'                           institution of choice for students faculty staff and the future employers of its'                           students. The University will be recognized nationally and internationally for excellence'                           in teaching research outreach exceptional academic programs and globally competitive'                           students.
Alabama State University,Alabama State University was founded in 1867 in Marion Ala. as a school for African-Americans. The school started as the Lincoln Normal School with $500 raised by nine formerly enslaved men now known as the Marion Nine making ASU one of the nation’s oldest institutions of higher education founded for black Americans.
Alaska Bible College,The purpose of Alaska Bible College is to exalt the Lord Jesus Christ and extend His Church by biblically training believers to be servant-leaders with Christ-like character.
Alaska Pacific University,
Albany College of Pharmacy and Health Sciences,We educate the next generation of leaders to improve the health of our society.
Albany State University,Albany State University will be a world-class comprehensive university and a powerful'                              catalyst for the economic growth and development of Southwest Georgia. ASU will be'                              recognized for its innovative and creative delivery of excellent educational programs'                              broad-based community engagement and public service and creative scholarship and'                              applied research all of which enrich the lives of the diverse constituencies served'                              by the University.
Albertus Magnus College,The mission of Albertus Magnus College is to provide men and women with an education'                                       that promotes the search for truth in all its dimensions and is practical in its application.'                                       Founded by the Dominican Sisters of Peace Albertus Magnus College faithful to its'                                       Catholic heritage and the Judeo-Christian tradition remains dedicated to providing'                                       an opportunity for learning which responds to the academic needs and ethical challenges'                                       of its students and society.
Albion College,Albion College is nationally recognized for its academic excellence in the liberal arts tradition a learning-centered commitment and a future-oriented perspective. The College is a leader in preparing students to anticipate solve and prevent problems in order to improve the human and global condition. The College immerses students in the creation and processing of knowledge and graduates skilled architects of societal change active citizens and future leaders.
Albizu University-Miami,
Albright College,Albright College is deeply committed to our core values mission and vision inclusivity and equity and expression statements. These statements were developed by teams of community members who used an iterative engagement process to ensure all voices were heard in their development. Statements published here have been endorsed by the Albright Faculty and by the Albright College Board of Trustees.
Alcorn State University,Alcorn State University is a public historically Black comprehensive land-grant institution of higher education that provides access and opportunity for diverse students to excel intellectually build character and overcome barriers so they can become productive leaders who make meaningful contributions to society. Enhancing its historic strengths in agriculture education and nursing Alcorn State offers a range of undergraduate and graduate programs including fine arts business humanities social and behavioral sciences and STEM.
Alderson Broaddus University,The mission ofAlderson Broaddus Universityis to provide our students with the highestqualityeducation striving to prepare students tosucceedin their chosen disciplines and to fulfill their roles in adiversesociety as well-rounded andresponsiblecitizens.
Alfred University,Alfred University will be an innovative leader in the delivery of academic excellence and enduring educational value preparing all students for success in their studies and throughout life.
Alice Lloyd College,The mission of Alice Lloyd College is to educate mountain people for positions of leadership and service to the mountains by:    *Making an Alice Lloyd College education available to qualified mountain students regardless of their financial situation.   *Offering a high quality academic program  emphasizing the liberal arts.   *Promoting the work ethic through a self-help  student work program in which all full-time students participate.  *Providing an atmosphere in which Christian values are maintained  encouraging high personal standards and the development of character.   *Serving the community and region through appropriate outreach programs that utilize mountain people helping mountain people.    *Assisting deserving students in obtaining advanced study beyond their program at Alice Lloyd.    *Producing leaders for Appalachia who possess high moral and ethical values  an attitude of self-reliance  a sense of purpose  and a spirit of service to others.
Allegheny College,
Allegheny Wesleyan College,Allegheny Wesleyan College prepares students
Allen College,Allen College offers educational healthcare programs of excellence to a diverse community while instilling the values of service inclusion and lifelong learning.
Allen University,Allen University is an academic community which provides students an opportunity to obtain baccalaureate and graduate degrees in liberal arts and professional programs in traditional and distance education formats. The University has a strong unalterable commitment to teaching in delivery of its baccalaureate and graduate programs.
Alliant International University-San Diego,
Alma College,Alma College’s mission is to prepare graduates who think critically serve generously lead purposefully and live responsibly as stewards of the world they bequeath to future generations.
Alvernia University,Alvernia defines the community. It is a vibrant intellectual environment in which students learn discover give and grow as leaders with moral courage.
Alverno College,Learn what it's like to live and study at Alverno.
America Evangelical University,The mission of America Evangelical University is to prepare students for the ministry of our Lord Jesus Christ by equipping them with knowledge of the Word of God  academic development  and skills to minister effectively and with cultural sensitivity.
American Academy of Art College,© 2023 American Academy of Art College
American Baptist College,
American College of the Building Arts,
